DeviceID 42
"Date and Time	Sequence number	FM Radio	TV	Mobile 800 MHz Downlink	Mobile 800 MHz Uplink	Mobile 900 MHz Uplink	Mobile 900 MHz Downlink	Mobile 1.8 GHz Uplink	Mobile 1.8 GHz Downlink	DECT	Mobile 2.1 GHz Uplink	Mobile 2.1 GHz Downlink	ISM 2.4 GHz	Mobile 2.6 GHz Uplink	Mobile 2.6 GHz Downlink	Mobile 3.5 GHz	WiFi 5 GHz	Total	Overload	GPS Fix	GPS Lat	GPS Lon	GPS Altitude	GPS HDOP	GPS# Satellites	GPS Speed	Marker	Battery charge	USB cable"
"06/30/2017 09:09:05	  21	0.0124	0.0016	0.0016	0.0081	0.0015	0.0016	0.0022	0.0193	0.0250	0.0014	0.0014	0.0077	0.0013	0.0011	0.0013	0.0000	0.0360	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:09	  22	0.0124	0.0016	0.0016	0.0016	0.0015	0.0016	0.0020	0.0184	0.0214	0.0014	0.0014	0.0064	0.0012	0.0011	0.0013	0.0000	0.0318	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:13	  23	0.0124	0.0016	0.0016	0.0016	0.0015	0.0016	0.0021	0.0243	0.0473	0.0014	0.0014	0.0088	0.0013	0.0011	0.0013	0.0201	0.0591	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:17	  24	0.0125	0.0016	0.0016	0.0016	0.0015	0.0016	0.0024	0.0201	0.0391	0.0014	0.0014	0.0087	0.0013	0.0011	0.0013	0.0000	0.0469	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:21	  25	0.0125	0.0017	0.0016	0.0205	0.0015	0.0016	0.0021	0.0298	0.0379	0.0014	0.0014	0.0086	0.0013	0.0011	0.0013	0.0000	0.0548	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:25	  26	0.0125	0.0016	0.0016	0.0035	0.0015	0.0016	0.0023	0.0253	0.0740	0.0014	0.0014	0.0071	0.0013	0.0011	0.0013	0.0235	0.0831	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:29	  27	0.0125	0.0016	0.0016	0.0046	0.0015	0.0016	0.0024	0.0251	0.0789	0.0014	0.0014	0.0095	0.0013	0.0011	0.0013	0.0248	0.0881	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:33	  28	0.0125	0.0016	0.0037	0.0088	0.0015	0.0016	0.0022	0.0186	0.0113	0.0014	0.0014	0.0122	0.0013	0.0011	0.0013	0.0204	0.0361	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:37	  29	0.0125	0.0016	0.0016	0.0037	0.0015	0.0016	0.0021	0.0248	0.0313	0.0014	0.0014	0.0110	0.0013	0.0011	0.0013	0.0000	0.0437	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:41	  30	0.0125	0.0016	0.0025	0.0048	0.0015	0.0016	0.0021	0.0194	0.0123	0.0014	0.0014	0.0113	0.0013	0.0011	0.0013	0.0000	0.0293	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:45	  31	0.0127	0.0016	0.0016	0.0055	0.0015	0.0016	0.0021	0.0182	0.0162	0.0014	0.0014	0.0081	0.0013	0.0011	0.0013	0.0000	0.0295	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:49	  32	0.0127	0.0016	0.0016	0.0054	0.0015	0.0016	0.0021	0.0166	0.0174	0.0014	0.0014	0.0112	0.0013	0.0011	0.0013	0.0000	0.0303	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:53	  33	0.0127	0.0016	0.0016	0.0087	0.0015	0.0016	0.0021	0.0231	0.0306	0.0014	0.0014	0.0119	0.0013	0.0011	0.0013	0.0214	0.0482	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:09:57	  34	0.0127	0.0016	0.0016	0.0038	0.0015	0.0016	0.0044	0.0331	0.0259	0.0014	0.0014	0.0105	0.0013	0.0011	0.0013	0.0215	0.0506	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:01	  35	0.0125	0.0016	0.0016	0.0016	0.0015	0.0016	0.0021	0.0275	0.0362	0.0014	0.0014	0.0143	0.0013	0.0011	0.0013	0.0216	0.0540	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:05	  36	0.0124	0.0016	0.0016	0.0016	0.0015	0.0016	0.0023	0.0300	0.0436	0.0015	0.0014	0.0114	0.0013	0.0011	0.0013	0.0000	0.0558	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:09	  37	0.0125	0.0015	0.0016	0.0016	0.0015	0.0016	0.0022	0.0437	0.0353	0.0014	0.0014	0.0066	0.0013	0.0011	0.0013	0.0000	0.0581	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:13	  38	0.0128	0.0015	0.0016	0.0017	0.0015	0.0016	0.0019	0.0177	0.0136	0.0014	0.0014	0.0101	0.0013	0.0011	0.0013	0.0000	0.0281	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:17	  39	0.0128	0.0016	0.0016	0.0017	0.0015	0.0016	0.0021	0.0290	0.0408	0.0014	0.0015	0.0074	0.0013	0.0011	0.0014	0.0234	0.0575	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:21	  40	0.0128	0.0016	0.0016	0.0017	0.0015	0.0016	0.0019	0.0269	0.0256	0.0014	0.0014	0.0062	0.0013	0.0011	0.0013	0.0000	0.0401	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:25	  41	0.0127	0.0016	0.0016	0.0017	0.0015	0.0016	0.0031	0.0241	0.0366	0.0050	0.0014	0.0143	0.0013	0.0011	0.0013	0.0000	0.0484	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:29	  42	0.0127	0.0016	0.0030	0.0018	0.0015	0.0016	0.0050	0.0099	0.0146	0.0014	0.0015	0.0040	0.0007	0.0011	0.0013	0.0000	0.0232	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:33	  43	0.0125	0.0016	0.0028	0.0017	0.0015	0.0022	0.0023	0.0093	0.0089	0.0014	0.0015	0.0020	0.0007	0.0011	0.0013	0.0000	0.0189	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:37	  44	0.0128	0.0016	0.0068	0.0017	0.0015	0.0028	0.0020	0.0178	0.0040	0.0014	0.0027	0.0035	0.0006	0.0011	0.0013	0.0000	0.0242	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:41	  45	0.0133	0.0016	0.0034	0.0017	0.0015	0.0018	0.0037	0.0412	0.0045	0.0014	0.0031	0.0056	0.0007	0.0011	0.0013	0.0000	0.0444	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:45	  46	0.0135	0.0022	0.0370	0.0017	0.0015	0.0088	0.0033	0.0967	0.0127	0.0014	0.0431	0.0065	0.0013	0.0014	0.0013	0.0306	0.1184	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:49	  47	0.0128	0.0026	0.0230	0.0017	0.0015	0.0116	0.0021	0.0950	0.0069	0.0014	0.0379	0.0071	0.0010	0.0013	0.0013	0.0000	0.1068	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:53	  48	0.0150	0.0024	0.0327	0.0017	0.0015	0.0187	0.0020	0.1011	0.0088	0.0014	0.0169	0.0076	0.0009	0.0013	0.0013	0.0000	0.1109	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:10:57	  49	0.0153	0.0031	0.0316	0.0017	0.0015	0.0080	0.0021	0.0712	0.0065	0.0014	0.0315	0.0101	0.0009	0.0013	0.0013	0.0000	0.0868	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:01	  50	0.0149	0.0029	0.0302	0.0017	0.0015	0.0155	0.0024	0.1269	0.0080	0.0014	0.0263	0.0070	0.0009	0.0014	0.0013	0.0000	0.1353	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:05	  51	0.0149	0.0031	0.0415	0.0017	0.0015	0.0078	0.0024	0.1845	0.0142	0.0014	0.0475	0.0109	0.0013	0.0015	0.0013	0.0000	0.1966	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:09	  52	0.0192	0.0031	0.0625	0.0017	0.0015	0.0158	0.0019	0.0707	0.0191	0.0014	0.0397	0.0083	0.0012	0.0015	0.0013	0.0000	0.1075	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:13	  53	0.0146	0.0029	0.0263	0.0017	0.0015	0.0176	0.0020	0.0863	0.0108	0.0014	0.0200	0.0111	0.0009	0.0015	0.0013	0.0000	0.0966	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:17	  54	0.0135	0.0032	0.0277	0.0017	0.0015	0.0110	0.0019	0.0541	0.0108	0.0014	0.0206	0.0134	0.0009	0.0046	0.0013	0.0000	0.0691	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:21	  55	0.0136	0.0038	0.0213	0.0018	0.0015	0.0130	0.0030	0.0594	0.0087	0.0014	0.0251	0.0097	0.0008	0.0026	0.0013	0.0000	0.0720	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:25	  56	0.0139	0.0023	0.0182	0.0018	0.0015	0.0159	0.0023	0.0845	0.0081	0.0014	0.0164	0.0087	0.0010	0.0019	0.0013	0.0000	0.0914	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:29	  57	0.0149	0.0024	0.0132	0.0018	0.0015	0.0095	0.0020	0.0653	0.0098	0.0016	0.0155	0.0092	0.0009	0.0019	0.0013	0.0000	0.0721	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:33	  58	0.0149	0.0024	0.0117	0.0018	0.0015	0.0101	0.0020	0.0769	0.0083	0.0017	0.0148	0.0105	0.0010	0.0018	0.0013	0.0000	0.0824	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:37	  59	0.0149	0.0025	0.0233	0.0018	0.0015	0.0093	0.0020	0.0727	0.0054	0.0014	0.0137	0.0142	0.0009	0.0021	0.0013	0.0000	0.0812	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:41	  60	0.0149	0.0024	0.0172	0.0018	0.0016	0.0089	0.0020	0.0617	0.0078	0.0014	0.0148	0.0096	0.0010	0.0021	0.0013	0.0000	0.0693	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:45	  61	0.0149	0.0024	0.0247	0.0018	0.0015	0.0078	0.0020	0.0712	0.0084	0.0014	0.0151	0.0098	0.0009	0.0020	0.0013	0.0000	0.0799	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:49	  62	0.0166	0.0036	0.0327	0.0018	0.0015	0.0103	0.0020	0.0769	0.0077	0.0014	0.0197	0.0143	0.0010	0.0022	0.0013	0.0000	0.0897	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:53	  63	0.0136	0.0031	0.0696	0.0018	0.0016	0.0105	0.0020	0.0795	0.0100	0.0014	0.0217	0.0043	0.0009	0.0024	0.0013	0.0000	0.1099	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:11:57	  64	0.0146	0.0038	0.0396	0.0020	0.0015	0.0125	0.0020	0.0723	0.0101	0.0014	0.0181	0.0044	0.0010	0.0022	0.0013	0.0000	0.0875	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:01	  65	0.0161	0.0031	0.0432	0.0020	0.0015	0.0102	0.0020	0.0566	0.0084	0.0014	0.0201	0.0042	0.0008	0.0042	0.0013	0.0000	0.0772	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:05	  66	0.0138	0.0030	0.0335	0.0020	0.0015	0.0121	0.0020	0.0473	0.0109	0.0014	0.0298	0.0036	0.0008	0.0029	0.0013	0.0000	0.0689	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:09	  67	0.0131	0.0031	0.0173	0.0020	0.0015	0.0147	0.0031	0.0521	0.0075	0.0014	0.0246	0.0062	0.0008	0.0024	0.0013	0.0000	0.0644	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:13	  68	0.0152	0.0036	0.0199	0.0020	0.0015	0.0153	0.0020	0.0726	0.0092	0.0014	0.0368	0.0056	0.0008	0.0034	0.0013	0.0000	0.0874	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:17	  69	0.0146	0.0046	0.0281	0.0020	0.0015	0.0171	0.0033	0.0750	0.0148	0.0014	0.0315	0.0061	0.0009	0.0068	0.0013	0.0000	0.0909	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:21	  70	0.0144	0.0030	0.0554	0.0020	0.0015	0.0121	0.0022	0.0680	0.0195	0.0014	0.0412	0.0041	0.0010	0.0097	0.0013	0.0000	0.1013	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:25	  71	0.0138	0.0029	0.0419	0.0020	0.0015	0.0179	0.0022	0.0599	0.0340	0.0014	0.0311	0.0032	0.0012	0.0098	0.0013	0.0000	0.0900	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:29	  72	0.0149	0.0027	0.0152	0.0018	0.0015	0.0130	0.0020	0.0489	0.0098	0.0014	0.0288	0.0033	0.0008	0.0044	0.0013	0.0000	0.0632	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:33	  73	0.0130	0.0038	0.0153	0.0018	0.0015	0.0153	0.0020	0.0523	0.0055	0.0014	0.0235	0.0029	0.0008	0.0026	0.0013	0.0000	0.0632	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
"06/30/2017 09:12:37	  74	0.0147	0.0030	0.0249	0.0018	0.0015	0.0111	0.0020	0.0500	0.0073	0.0014	0.0257	0.0034	0.0008	0.0027	0.0013	0.0000	0.0649	 	0	0000.0000X	00000.0000Y	     	     	0 	0.00 	 	95%	no"
